,dangerLevel,elevation_th,HN72_24,HN24_7d,Pen_depth,HN24,min_ccl_pen,RH,wind_trans24_3d,wind_trans24,wind_trans24_7d,warnreg
128079,1.0,1000.0,0.0,0.0,7.541791075134066,0.0,3.0,79.51249999999997,0.0,0.0,0.0,16.0
128083,1.0,1000.0,0.0,0.0,6.633201449405807,0.0,3.0,71.425,0.0,0.0,0.0,16.0
128084,1.0,1000.0,0.0,0.0,7.203292280516636,0.0,2.5,79.62500000000001,0.0,0.0,0.0,16.0
128085,1.0,1000.0,2.62275,2.62,8.522459218254355,2.62275,2.26,72.83749999999998,0.0,0.0,0.0,16.0
128089,1.0,1000.0,0.0,0.0,7.671760625740613,0.0,2.98,79.175,0.0,0.0,0.0,16.0
128091,1.0,1000.0,2.469625,4.54,10.058187596197234,0.0,1.36,82.81250000000001,0.0,0.0,0.0,16.0
128093,1.0,1000.0,0.0,0.0,7.995712127569362,0.0,3.0,75.12499999999999,0.0,0.0,0.0,16.0
128095,1.0,1000.0,0.0,0.0,8.473395310508016,0.0,1.52,75.05,0.0,0.0,0.0,16.0
128099,1.0,1000.0,0.0,0.0,8.013367004285538,0.0,2.36,71.89999999999998,0.0,0.0,0.0,16.0
128100,1.0,1000.0,0.0,0.0,8.268086706295469,0.0,2.58,69.6125,0.0,0.0,0.0,16.0
128101,1.0,1000.0,0.0,2.07,7.370273755052882,0.0,2.96,81.02499999999998,0.0,0.0,0.0,16.0
128102,1.0,1000.0,0.0,0.0,7.841797956096407,0.0,2.41,69.2375,0.0,0.0,0.0,16.0
128103,1.0,1000.0,0.0,0.0,12.106246932447224,0.0,0.63,75.9875,0.0,0.0,0.0,16.0
128104,1.0,1000.0,0.0,0.0,7.918789125440479,0.0,3.0,75.06250000000001,0.0,0.0,0.0,16.0
128105,1.0,1000.0,0.0,0.0,8.257666268263272,0.0,1.47,81.69999999999997,0.0,0.0,0.0,16.0
